항목,2017/12,2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-144,-156,209,-78,-422,, , 
  당기순이익(지배)＜당기＞,-73.8,-83.8,113.1,-44.1,-245.8,, , 
  보통주수정평균발행주식수＜당기＞,"51,155,424","53,624,705","53,624,705","56,492,181","58,302,459","61,437,486", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,869,709,926,"1,121","1,854",, , 
  자본총계(지배)＜당기＞,463.0,377.9,496.7,644.7,"1,138.9",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"53,290,321","53,290,321","53,624,705","57,491,676","61,437,486","61,437,486", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,-198,-472,438,721,-528,, , 
  영업활동현금흐름＜당기＞,-101.4,-253.0,235.0,407.1,-307.8,, , 
  보통주수정평균발행주식수＜당기＞,"51,155,424","53,624,705","53,624,705","56,492,181","58,302,459","61,437,486", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,511,813,"1,875","2,090","2,277",, , 
  매출액＜당기＞,261.2,435.9,"1,005.5","1,180.6","1,327.4",, , 
  보통주수정평균발행주식수＜당기＞,"51,155,424","53,624,705","53,624,705","56,492,181","58,302,459","61,437,486", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,12.57,N/A,N/A,, , 
  보통주수정주가(기말)＜당기＞,"1,625","2,325","2,625","9,430","14,400","13,600", , 
  EPS＜당기＞,-144,-156,209,-78,-422,, , 
펼치기 PBR,1.96,3.28,2.83,8.41,7.77,, , 
  보통주수정주가(기말)＜당기＞,"1,625","2,325","2,625","9,430","14,400","13,600", , 
  BPS＜당기＞,869,709,926,"1,121","1,854",, , 
펼치기 PCR,-8.58,-4.93,5.99,13.09,-27.27,, , 
  보통주수정주가(기말)＜당기＞,"1,625","2,325","2,625","9,430","14,400","13,600", , 
  CPS＜당기＞,-198,-472,438,721,-528,, , 
펼치기 PSR,3.33,2.86,1.40,4.51,6.32,, , 
  보통주수정주가(기말)＜당기＞,"1,625","2,325","2,625","9,430","14,400","13,600", , 
  SPS＜당기＞,511,813,"1,875","2,090","2,277",, , 
펼치기 EV/EBITDA,-16.73,-11.92,8.64,33.50,50.42,, , 
  EV＜당기＞,740.8,"1,396.8","1,379.8","4,897.4","8,654.2",, , 
  EBITDA＜당기＞,-44.3,-117.1,159.8,146.2,171.6,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
