항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"1,824.1","1,742.1","1,780.6","1,779.8","1,894.1",6.4
*내수,,,"1,744.3","1,774.4",,
*수출,,,17.7,5.4,,
매출원가,772.7,686.8,720.1,743.1,746.3,0.4
매출총이익,"1,051.4","1,055.3","1,060.5","1,036.7","1,147.8",10.7
판매비와관리비,991.8,"1,033.2","1,058.4","1,031.5","1,110.9",7.7
영업이익,59.6,22.1,2.2,5.2,36.9,616.0
*기타영업손익,,,,,,
영업이익(발표기준),59.6,22.1,2.2,5.2,36.9,616.0
*[구K-IFRS]영업이익,,,,,,
금융수익,17.5,20.3,23.6,21.9,24.0,9.5
금융원가,0.3,0.3,0.4,3.3,5.5,68.1
기타영업외손익,17.7,10.4,11.3,14.1,34.3,143.3
"종속기업,공동지배기업및관계기업관련손익",19.0,4.3,-3.7,1.0,-3.9,-494.4
법인세비용차감전계속사업이익,113.5,56.7,33.0,38.8,85.8,120.9
법인세비용,22.3,14.2,4.3,9.6,20.9,116.8
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,91.3,42.5,28.7,29.2,64.9,122.3
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,91.3,42.5,28.7,29.2,64.9,122.3
기타포괄이익,-23.6,37.0,-3.5,12.3,6.1,-50.1
총포괄이익,67.7,79.5,25.3,41.5,71.0,71.3
*주당계속사업이익,"10,140","4,720","3,191","3,245","7,213",122
*주당순이익,"10,140","4,720","3,191","3,245","7,213",122
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"10,140","4,720","3,191","3,245","7,213",122
*(지배주주지분)주당순이익,"10,140","4,720","3,191","3,245","7,213",122
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
