항목,2017/09,2018/09,2019/09,2020/09,2021/09,전년대비
매출액(수익),"1,855.3","1,970.0","2,014.0","2,192.6","2,285.8",4.3
*내수,"1,781.5","1,916.3",,"2,121.5","2,232.9",5.3
*수출,73.9,53.7,,71.1,52.9,-25.6
매출원가,"1,425.1","1,530.4","1,575.2","1,764.0","1,858.5",5.4
매출총이익,430.2,439.5,438.9,428.6,427.3,-0.3
판매비와관리비,313.4,312.5,314.6,362.2,328.3,-9.4
영업이익,116.8,127.1,124.3,66.4,99.0,49.1
*기타영업손익,,,,,,
영업이익(발표기준),,127.1,124.3,66.4,99.0,49.1
*[구K-IFRS]영업이익,,,,,,
금융수익,10.1,11.8,15.8,12.0,10.9,-9.2
금융원가,12.9,12.7,12.9,24.9,22.2,-10.7
기타영업외손익,0.7,3.1,12.2,-84.7,-15.1,82.2
"종속기업,공동지배기업및관계기업관련손익",-1.0,-3.1,1.5,-0.0,1.0,"3,530.5"
법인세비용차감전계속사업이익,113.7,126.2,140.9,-31.3,73.5,335.0
법인세비용,47.2,24.5,34.7,4.9,21.8,345.7
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,66.5,101.7,106.2,-36.2,51.7,242.8
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,66.5,101.7,106.2,-36.2,51.7,242.8
기타포괄이익,0.2,-18.6,-4.2,5.3,20.4,285.5
총포괄이익,66.6,83.1,102.1,-30.9,72.1,333.5
*주당계속사업이익,"4,344","8,486","8,088","-4,267","4,566",207
*주당순이익,"4,344","8,486","8,088","-4,267","4,566",207
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"4,344","8,486","8,088","-4,267","4,566",207
*(지배주주지분)주당순이익,"4,344","8,486","8,088","-4,267","4,566",207
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
