항목,2017/12,2018/12,2019/12,2020/12,"2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-26,-84,108,152,-140,, , 
  당기순이익(지배)＜당기＞,-26.6,-108.4,140.2,196.7,-180.8,, , 
  보통주수정평균발행주식수＜당기＞,"103,564,431","129,484,149","129,484,148","129,484,148","129,484,148",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,510,428,540,695,552,, , 
  자본총계(지배)＜당기＞,656.4,550.7,695.3,894.7,710.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"128,685,816","128,685,816","128,684,335","128,684,335","128,684,335",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,-12,-23,-17,23,16,, , 
  영업활동현금흐름＜당기＞,-12.8,-30.3,-22.0,29.8,20.2,, , 
  보통주수정평균발행주식수＜당기＞,"103,564,431","129,484,149","129,484,148","129,484,148","129,484,148",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,74,50,58,45,60,, , 
  매출액＜당기＞,77.1,64.5,74.8,57.7,78.1,, , 
  보통주수정평균발행주식수＜당기＞,"103,564,431","129,484,149","129,484,148","129,484,148","129,484,148",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,N/A,N/A,3.00,2.59,N/A,, , 
  보통주수정주가(기말)＜당기＞,433,328,325,394,470,400, , 
  EPS＜당기＞,-26,-84,108,152,-140,, , 
펼치기 PBR,0.85,0.77,0.60,0.57,0.85,, , 
  보통주수정주가(기말)＜당기＞,433,328,325,394,470,400, , 
  BPS＜당기＞,510,428,540,695,552,, , 
펼치기 PCR,-34.98,-14.01,-19.12,17.10,30.13,, , 
  보통주수정주가(기말)＜당기＞,433,328,325,394,470,400, , 
  CPS＜당기＞,-12,-23,-17,23,16,, , 
펼치기 PSR,5.82,6.59,5.63,8.84,7.79,, , 
  보통주수정주가(기말)＜당기＞,433,328,325,394,470,400, , 
  SPS＜당기＞,74,50,58,45,60,, , 
펼치기 EV/EBITDA,-13.50,-19.76,49.25,-4.38,25.86,, , 
  EV＜당기＞,337.2,238.9,240.1,-44.4,500.2,, , 
  EBITDA＜당기＞,-25.0,-12.1,4.9,10.1,19.3,, , 
펼치기 DPS,0,0,,,,, , 
  현금DPS,0,0,,,,, , 
  주식DPS,0,0,,,,, , 
  현금배당수익률,0.00,0.00,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
