항목,,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,"2,776","1,810","3,572","4,023",97,13
  당기순이익(지배)＜당기＞,,,"18,722.1","13,072.7","25,879.4","29,286.6", , 
  보통주수정평균발행주식수＜당기＞,,,"674,449,060","722,267,683","724,537,217","728,060,549", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 BPS,,,"29,782","31,918","35,494","38,302",11,8
  자본총계(지배)＜당기＞,,,"215,103.7","230,536.1","258,420.2","278,857.5", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,0,"722,267,681","722,267,681","728,058,225","728,058,225", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,0,0,0,0,0, , 
펼치기 CPS,,,"2,773","4,993","-2,486",,-150, 
  영업활동현금흐름＜당기＞,,,"18,703.5","36,059.8","-18,009.7",, , 
  보통주수정평균발행주식수＜당기＞,,,"674,449,060","722,267,683","724,537,217","728,060,549", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 SPS,,,"33,669","39,650","37,529",,-5, 
  매출액＜당기＞,,,"227,082.7","286,376.1","271,909.7",, , 
  보통주수정평균발행주식수＜당기＞,,,"674,449,060","722,267,683","724,537,217","728,060,549", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 PER,,,4.18,5.38,3.56,3.90,-33.86,9.77
  보통주수정주가(기말)＜당기＞,,,"11,600","9,730","12,700","15,700", , 
  EPS＜당기＞,,,"2,776","1,810","3,572","4,023", , 
펼치기 PBR,,,0.39,0.30,0.36,0.41,17.37,14.56
  보통주수정주가(기말)＜당기＞,,,"11,600","9,730","12,700","15,700", , 
  BPS＜당기＞,,,"29,782","31,918","35,494","38,302", , 
펼치기 PCR,,,4.18,1.95,-5.11,,-362.16, 
  보통주수정주가(기말)＜당기＞,,,"11,600","9,730","12,700","15,700", , 
  CPS＜당기＞,,,"2,773","4,993","-2,486",, , 
펼치기 PSR,,,0.34,0.25,0.34,,37.90, 
  보통주수정주가(기말)＜당기＞,,,"11,600","9,730","12,700","15,700", , 
  SPS＜당기＞,,,"33,669","39,650","37,529",, , 
펼치기 EV/EBITDA,,,13.82,20.91,15.85,,-24.18, 
  EV＜당기＞,,,"456,869.2","546,935.1","705,657.2",, , 
  EBITDA＜당기＞,,,"33,056.9","26,159.4","44,516.5",, , 
펼치기 DPS,,,700,360,900,,150, 
  현금DPS,,,700,360,900,, , 
  주식DPS,,,0,0,,, , 
  현금배당수익률,,,6.03,3.70,7.09,6.59,3.39,-0.49
  현금배당성향(%),,,27.00,19.89,25.29,25.73,5.40,0.44
